Student's Name,Majors,Professor's Name,Departments,Previous Count, Current Count, Reason of Matching
Fowler Seamus,[Diplomacy & World Affairs AND  Politics],Christianakis Mary,Critical Theory & Social Justice,10,14,[Professor currently only has (14) advisees],
Flores Simon,[Critical Theory & Social Justice AND  Diplomacy & World Affairs AND  Politics],Lin Jan,Sociology,2,6,[Professor currently only has (6) advisees],
Burns Reina,[Kinesiology],Grayson Susan,Spanish & French Studies,10,14,[Professor currently only has (14) advisees],
Reilly Ella,[Undecided],Meade Laural,Theater,8,12,[Professor currently only has (12) advisees],
Richard Carson,[Comparative Studies in Literature & Culture AND  English AND  Theater],Basu Treena,Mathematics,7,10,[Professor currently only has (10) advisees],
Blake Kendall,[Psychology AND  Sociology AND  Urban & Environmental Policy],Udit Andrew,Chemistry,10,14,[Professor currently only has (14) advisees],
Castaneda Luna,[Economics AND  Kinesiology AND  Mathematics],Studenmund A. Harwood,Economics,1,5,[The student wants to major in the advisor's department (Economics);  Professor currently only has (5) advisees],
Gallagher Taniyah,[Kinesiology],Rodriguez Jaclyn,Psychology,10,14,[Professor currently only has (14) advisees],
Sharp Elsa,[Diplomacy & World Affairs AND  East Asian Studies AND  Group Language],Girton Irene,Music,4,8,[Professor currently only has (8) advisees],
Velasquez Adam,[Economics AND  Psychology AND  Spanish],Ford James,English,12,16,[Professor currently only has (16) advisees],
Frost Karma,[Critical Theory & Social Justice AND  Economics AND  Sociology],Sabo William,Philosophy,6,10,[Professor currently only has (10) advisees],
Faulkner Tucker,[Undecided AND  Biology AND  Politics],McCormack John,Biology,11,15,[The student wants to major in the advisor's department (Biology);  Professor currently only has (15) advisees],
Love William,[Biology],Reddy Movindri,Diplomacy & World Affairs,15,19,Randomly matched,
Fischer Eliza,[Cognitive Science AND  Group Language AND  Urban & Environmental Policy],Dreier Peter,Urban & Environmental Policy,14,18,[The student wants to major in the advisor's department (Urban & Environmental Policy);  Professor currently only has (18) advisees],
Roy Anna,[Economics],Freer Regina,Politics,15,19,Randomly matched,
Allen Rodney,[Computer Science],Besemer Linda,Art & Art History,11,15,[Professor currently only has (15) advisees],
Lowery Joslyn,[Undecided AND  Psychology AND  Urban & Environmental Policy],Kozinn Sarah,Theater,9,13,[Professor currently only has (13) advisees],
Lloyd Miriam,[Diplomacy & World Affairs AND  Japanese AND  Politics],Lengyel Tamas,Mathematics,14,18,[Professor currently only has (18) advisees],
Tucker Leroy,[Cognitive Science AND  Psychology],Freas Debra,Comparative Studies in Literature & Culture,10,14,[Professor currently only has (14) advisees],
