Ref,Oxy ID,Status,First,Last,Preferred,Preferred Gender Pronouns optional,Oxy_Major,Minors_Spec_Prepro_Programs
701165235,A01206760,First Year,Paityn,Ballard,Paityn,,"American Studies, Art & Art History, Critical Theory & Social Justice",
739455026,A01206654,First Year,Maddox,Howell,Maddox,,"American Studies, Critical Theory & Social Justice, History","Education Minor, Gender, Women, and Sexuality Studies Minor, Interdisciplinary Writing Minor"
940534688,A01207329,First Year,Davion,Yoder,Davion,,"American Studies, Diplomacy & World Affairs, History","Classical Studies Minor, Gender, Women, and Sexuality Studies Minor, Pre-Law Advising"
100654385,A01207885,First Year,Alisson,Howe,Alisson,,"American Studies, Psychology, Sociology",Environmental Science Concentration (Biology or Geology)
811123756,A01213925,First Year,Cristal,Kaiser,Cristal,,"Art & Art History, Biochemistry, French",Interdisciplinary Writing Minor
568918842,A01206693,First Year,Bradyn,Mckee,Bradyn,,"Art & Art History, Biology, Japanese",Classical Studies Minor
84265803,A01196452,First Year,Maya,Durham,Maya,,"Art & Art History, Biology, Politics",Education Minor
368446286,A01206827,First Year,Brooklyn,Franco,Brooklyn,,"Art & Art History, Chemistry","Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields), Public Health Minor"
632265525,A01206391,First Year,Logan,Mcdaniel,Logan,,"Art & Art History, Cognitive Science, Kinesiology","Linguistics Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)"
212350033,A01209192,First Year,Georgia,Gay,Georgia,she/her/hers,"Art & Art History, Comparative Studies in Literature & Culture, Critical Theory & Social Justice",
645764953,A01207663,First Year,Max,Michael,Max,Feminine,"Art & Art History, Critical Theory & Social Justice, Media Arts & Culture","Gender, Women, and Sexuality Studies Minor, Interdisciplinary Writing Minor"
499865585,A01210665,First Year,Kristina,Blanchard,Kristina,,"Art & Art History, Critical Theory & Social Justice, Philosophy","Gender, Women, and Sexuality Studies Minor, Linguistics Minor"
743496168,A01208128,First Year,Mayra,Levy,Mayra,,"Art & Art History, Critical Theory & Social Justice, Sociology",
668880420,A01211201,First Year,Jaylen,Brennan,Jaylen,,"Art & Art History, Critical Theory & Social Justice, Spanish",
285330281,A01212061,First Year,Irene,Cowan,Irene,,"Art & Art History, Diplomacy & World Affairs, Politics",Pre-Law Advising
970768166,A01213857,First Year,Julissa,Cameron,Julissa,,"Art & Art History, Diplomacy & World Affairs, Urban & Environmental Policy","Environmental Science Concentration (Biology or Geology), Interdisciplinary Writing Minor, Pre-Law Advising, Public Health Minor"
216071671,A01207508,First Year,Cory,Bautista,Cory,,"Art & Art History, Economics",
388373152,A01206826,First Year,Marlie,Yu,Marlie,,"Art & Art History, Economics",
614233210,A01213350,First Year,Connor,Griffith,Connor,,"Art & Art History, Economics, Psychology",
808499699,A01207686,First Year,Damien,Walters,Damien,,"Art & Art History, English, Philosophy",Interdisciplinary Writing Minor
30695104,,First Year,Molly,Norman,Molly,,"Art & Art History, English, Psychology",Interdisciplinary Writing Minor
236433648,A01210654,First Year,Parker,Hood,Parker,,"Art & Art History, French, Media Arts & Culture",
535698362,A01206929,First Year,Barbara,Weiss,Barbara,,"Art & Art History, Japanese, Media Arts & Culture","Computer Science Minor, Gender, Women, and Sexuality Studies Minor"
277499243,A01206887,First Year,Brice,Ramos,Brice,,"Art & Art History, Japanese, Psychology",
389650921,A01213076,First Year,Eden,Bridges,Eden,,"Art & Art History, Media Arts & Culture",
344940304,A01207168,First Year,Duncan,Estes,Duncan,,"Art & Art History, Media Arts & Culture, Urban & Environmental Policy","Education Minor, Environmental Science Concentration (Biology or Geology), Public Health Minor"
873001886,A01206724,First Year,Gilberto,Fry,Gilberto,,Biochemistry,"3/2 Engineering Program (with CalTech or Columbia), Computer Science Minor"
690568845,A01206387,First Year,Karlie,Velez,Karlie,,Biochemistry,Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)
414316314,A01207437,First Year,Juan,Carson,Juan,,Biochemistry,"Gender, Women, and Sexuality Studies Minor, Linguistics Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields), Public Health Minor"
426655919,A01208937,First Year,Emily,Trevino,Emily,,Biochemistry,Environmental Science Concentration (Biology or Geology)
974824657,A01210443,First Year,Maddison,Reyes,Maddison,,"Biochemistry, Biology","3/2 Engineering Program (with CalTech or Columbia), Environmental Science Concentration (Biology or Geology), Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields), Public Health Minor"
166205817,A01197401,First Year,Lacey,Solis,Lacey,,"Biochemistry, Biology","Neuroscience Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields), Public Health Minor"
137746406,A01206812,First Year,Yair,Guerrero,Yair,,"Biochemistry, Biology",Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)
